"inventory_id","item_sku","description","location_id","ebay_category_id","created_at","updated_at"
41,IZ-0105-55,Dell Optiplex 7040 Desktop,14,179,2025-08-29 11:49:19.749 -0500,
8,IZ-0105-19,Dell Latitude 5590 Notebook/Laptop,2,177,2025-08-01 14:38:57.778 -0500,
7,IZ-0105-18,Dell Latitude 5590 Notebook/Laptop,2,177,2025-08-01 14:26:46.053 -0500,
39,IZ-0105-53,Dell Optiplex 7040 Desktop,14,179,2025-08-29 11:14:25.550 -0500,
3,IZ-0105-14,Dell Latitude 7490 Notebook/Laptop,2,177,2025-08-01 10:21:10.944 -0500,
4,IZ-0105-16,Dell Latitude 7490 Notebook/Laptop,3,177,2025-08-01 14:14:38.728 -0500,
28,IZ-0105-42,Dell Optiplex 7060 Desktop,20,179,2025-08-28 09:40:44.912 -0500,
12,DT-0325-434,Dell Latitude E5450 Notebook/Laptop,2,177,2025-08-01 15:12:51.722 -0500,
10,DT-0325-436,Dell Latitude 7480 Notebook/Laptop,2,177,2025-08-01 15:10:57.147 -0500,
36,IZ-0105-50,Dell OptiPlex 3050 Desktop,14,179,2025-08-29 10:56:24.345 -0500,
20,DT-0325-523,Dell OptiPlex 7050 Desktop,12,179,2025-08-19 12:43:21.339 -0500,
11,IZ-0105-23,Dell P46G Notebook/Laptop,12,177,2025-08-01 15:12:25.958 -0500,
15,IZ-0105-25,Dell Latitude 16 5501 Notebook/Laptop,2,177,2025-08-07 12:09:09.775 -0500,
14,IZ-0105-24,Dell latitude 5501 Notebook/Laptop,2,177,2025-08-07 11:46:59.452 -0500,
18,IZ-0105-33,Dell Optiplex 5090 Desktop,1,179,2025-08-16 11:57:36.287 -0500,
19,DT-0325-533,Dell OptiPlex 7050 Desktop,11,179,2025-08-19 12:41:08.906 -0500,
21,DT-0325-530,Dell OptiPlex 7050 Desktop,11,179,2025-08-19 12:44:06.915 -0500,
22,DT-0325-531,Dell OptiPlex 7050 Desktop,11,179,2025-08-19 12:45:01.235 -0500,
23,DT-0325-532,Dell OptiPlex 7050 Desktop,11,179,2025-08-19 12:48:19.450 -0500,
25,IZ-0105-35,Lenovo ThinkPad T480s Notebook/Laptop,11,177,2025-08-21 10:30:32.078 -0500,
27,IZ-0105-41,Dell OptiPlex 7020 Desktop,11,179,2025-08-26 12:44:53.025 -0500,
29,IZ-0105-43,Dell OptiPlex 5050 Desktop,11,179,2025-08-28 09:57:36.715 -0500,
30,IZ-0105-44,Dell OptiPlex 5050 Desktop,11,179,2025-08-28 10:10:00.186 -0500,
31,IZ-0105-45,Dell Precision 5820 Desktop,11,179,2025-08-28 10:42:30.235 -0500,
38,IZ-0105-52,Dell OptiPlex 5050 Desktop,11,179,2025-08-29 11:10:14.084 -0500,
17,IZ-0105-26,Dell OptiPlex 7090 Desktop,13,179,2025-08-08 09:29:27.405 -0500,
43,IZ-0105-57,Dell OptiPlex 3050 Desktop,14,179,2025-08-29 12:23:58.676 -0500,
45,IZ-0105-59,Dell OptiPlex 5050 Desktop,14,179,2025-08-30 09:51:41.901 -0500,
72,IZ-0105-79,HP F2G74A Feeder,12,11197,2025-09-27 09:35:32.725 -0500,
47,IZ-0105-61,Dell OptiPlex 5050 Desktop,14,179,2025-08-30 10:07:17.793 -0500,
13,JB-0626-305,Cisco d9800 HD Digital,5,96969,2025-08-06 11:55:18.941 -0500,
49,IZ-0105-64,Dell OptiPlex 3040 Desktop,11,179,2025-09-06 13:30:58.325 -0500,
50,IZ-0105-65,Dell OptiPlex 3050 All-in-One,11,179,2025-09-09 15:43:59.523 -0500,
51,DT-0289-CAB-562,HP Pro Mini 400 G9 Desktop,11,179,2025-09-13 10:16:04.957 -0500,
35,IZ-0105-49,Dell OptiPlex 3060 Desktop,12,179,2025-08-29 10:50:05.799 -0500,
